Blue Lagoon,Riverside,Sligo,Ireland,,
Café Grappa,Rockwood Parade,Sligo,Ireland,,
Café Osta ,Garavogue Weir,Sligo,Ireland,,http://www.osta.ie/
Café Slice The Model,The Model,Sligo,Ireland,,
Calry Church,The Mall,Sligo,Ireland,,
Carpark in Strandhill,Strandhill,Sligo,Ireland,,
Carraroe Church,Old Dublin Road,Sligo,Ireland,,
Clarence Hotel,Clarion Road,Sligo,Ireland,,http://www.clarionhotelsligo.com
Clarion Canis Major,Clarion Road,Sligo,Ireland,,http://www.clarionhotelsligo.com
Costa Cafe,Johnston's Court,Sligo,Ireland,,
Drumcliffe Church of Ireland,Drumcliffe,Sligo,Ireland,,
Gaiety Cinema,Wine Street,Sligo,Ireland,,http://www.gaietysligo.com
Gilhooly Hall,Temple Street,Sligo,Ireland,,http://www.sligocathedral.ie
Grammar,The Mall,Sligo,Ireland,,http://www.sligogrammarschool.org/
Grammar Calry Hall,The Mall,Sligo,Ireland,,http://www.sligogrammarschool.org/
Grammar Gym,The Mall,Sligo,Ireland,,http://www.sligogrammarschool.org/
Grammar Sports Hall,The Mall,Sligo,Ireland,,http://www.sligogrammarschool.org/
Hamilton Gallery,4 Castle Street,Sligo,Ireland,,
Hawk's Well Theatre,Temple Street,Sligo,Ireland,,http://www.hawkswell.com
Ionad na Gaeilge Sligo VEC,Quay Street,Sligo, Ireland,,http://www.sligovec.ie/
IT A004,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT A005,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT A006,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT B1040,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT B1050,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT B1058,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT C1004,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT C1006,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT D1001,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT D1001,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT D1003,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT E0011,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
IT E0017,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
Knocknarea Arena,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
Knocknarea public car-park,Knocknaread,Sligo,Ireland,,
Lyons' Cafe ,Quay Street,Sligo, Ireland,,http://www.garystafford.com/
McLynns Pub,Old Market Street,Sligo,Ireland,,
Mercy College Gym,Chapel Hill,Sligo,Ireland,,http://www.mercycollegesligo.ie
Methodist Church,Wine Street,Sligo,Ireland,,"	"
O'Connell Street,Main Street,Sligo,Ireland,,
Oifig na Fleidhe,Riverside,Sligo,Ireland,,
Peace III Gig Rig,Stephen Street,Sligo,Ireland,,
Radisson Blu Hotel,Ballincar,Sligo,Ireland,,
Riverside,Riverside,Sligo ,Ireland,,
Saint Marys GAA Club, Ballydoogan,Sligo,Ireland,,
Shennanigans,Bridge Street,Sligo,Ireland,,
Sligo County Museum,Stephen Street,Sligo,Ireland,,http://www.sligolibrary.ie
Sligo Gaol,St Annes Place,Sligo,Ireland,,http://www.sligococo.ie
Sligo Park Hotel,Pearse Road,Sligo,Ireland,,http://www.sligoparkhotel.com
Sligo Town,O'Connell Street,Sligo,Ireland,,
Sligo Youth Theatre, Quay Street,Sligo,Ireland,,
Southern Hotel,Strandhill Road,Sligo,Ireland,,http://www.sligosouthernhotel.ie
St Anne's Club,Chapel Street,Sligo, Ireland,,
St Edward's School,Clarion Road,Sligo,Ireland,,http://stedwards.scoilnet.ie/blog 
St John's Sports Hall,John Street,Sligo,Ireland,,
St Marys Catherdral,Temple Street,Sligo,Ireland,,http://www.sligocathedral.ie
Summerhill Secondary School,College Road,Sligo,Ireland,,"http://www.summerhillcollege.ie	"
Super Valu Car Park Grange,Grange,Sligo,Ireland,,
The Cat & The Moon,Castle Street,Sligo,Ireland,,http://www.thecatandthemoon.com/
The Crib, Rockwood Parade,Sligo,Ireland,,
The Glasshouse Hotel,Swan Point,Sligo,Ireland,,http://www.theglasshouse.ie
The Mercy College Gymnasium,Chapel Hill,Sligo,Ireland,,http://www.mercycollegesligo.ie
The Mercy Secondary School,Chapel Hill,Sligo,Ireland,,http://www.mercycollegesligo.ie
The Model,The Mall,Sligo,Ireland,,http://www.themodel.ie
The Southern Hotel,Strandhill Road,Sligo,Ireland,,http://www.sligosouthernhotel.ie/
Tourist Information Office,O'Connell Street,Sligo,Ireland,,http://www.sligotourism.ie/
Ursuline College,Finisklin Road,Sligo,Ireland,,http://www.ursulinecollegesligo.com/
Yeats Building,Hyde Bridge,Sligo,Ireland,,http://www.yeatssociety.com/
Sligo IT Hume Hall,Ash Lane,Sligo,Ireland,,http://www.itsligo.ie
Lyons Cafe ,Quay Street,Sligo, Ireland,,http://www.garystafford.com/
